City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,villa gesell,-37.2639,-56.973,10.59,44,53,9.0,AR,1686412709
344,cambridge,43.3601,-80.3127,25.05,42,75,3.09,CA,1686412699
345,purulha,15.2667,-90.2,20.09,43,50,1.1,GT,1686412710
346,namtsy,62.7161,129.6658,13.83,69,59,2.64,RU,1686412710
347,illizi,26.4833,8.4667,45.89,6,6,6.19,DZ,1686412710
348,swinoujscie,53.9105,14.2471,26.77,59,0,9.26,PL,1686412710
349,inongo,-1.95,18.2667,23.15,85,88,1.58,CD,1686412710
350,narvik,68.4384,17.4272,16.67,52,57,1.69,NO,1686412710
351,posto fiscal rolim de moura,-13.0833,-62.2667,33.59,41,1,1.98,BR,1686412710
352,yanam,16.7333,82.2167,30.89,50,94,3.53,IN,1686412710
353,haiku-pauwela,20.9219,-156.3051,23.91,71,0,5.14,US,1686412711
354,magnitka,55.3475,59.6961,16.1,90,76,2.96,RU,1686412711
355,sultanah,24.4926,39.5857,41.25,7,0,5.14,SA,1686412711
356,talodi,10.6325,30.3797,25.42,74,82,2.97,SD,1686412711
357,olinda,-8.0089,-34.8553,27.85,74,40,3.09,BR,1686412513
358,bodaybo,57.8506,114.1933,17.32,61,44,0.91,RU,1686412711
359,carupano,10.6678,-63.2585,30.08,65,91,5.53,VE,1686412711
360,yuzhno-kurilsk,44.0306,145.8556,8.83,98,97,1.74,RU,1686412711
361,kulhudhuffushi,6.6221,73.07,28.82,80,78,7.19,MV,1686412711
362,saint-tropez,43.2693,6.6398,26.01,67,18,3.72,FR,1686412712
